COMPOUND,PREDICTED,TRUE,SMILE
Acetazolamide,-2.84,-2.38,CC(NC1=NN=C(S1)[S](N)(=O)=O)=O
Acetylsalicylic_Acid,-2.02,-1.67,C(C)(=O)OC1=CC=CC=C1C(=O)O
Alclofenac,-2.66,-4.4,C=CCOc1ccc(cc1Cl)CC(=O)O
Ambroxol,-2.9,-3.87,O[C@@H]2CC[C@@H](NCc1cc(Br)cc(Br)c1N)CC2
Aripiprazole,-5.51,-6.64,O=C1Nc2c(ccc(OCCCCN3CCN(c4c(Cl)c(Cl)ccc4)CC3)c2)CC1
Atovaquone,-5.96,-6.07,O=C1c2ccccc2C(=O)C(O)=C1C1CCC(CC1)c1ccc([Cl])cc1
Atrazine,-2.36,-3.69,CCNc1nc(nc(n1)Cl)NC(C)C
Baclofen,-1.91,-1.78,C1=CC(=CC=C1C(CC(O)=O)CN)Cl
"Barbital,Buta-",-1.83,-2.22,CCC(C)C1(C(=O)NC(=O)NC1=O)CC
Benzthiazide,-4.61,-4.84,C1=C(Cl)C(=CC2=C1NC(=N[S]2(=O)=O)CSCC3=CC=CC=C3)[S](N)(=O)=O
Bromazepam,-3.51,-3.39,O=C1Nc2c(C(c3ncccc3)=NC1)cc(Br)cc2
Candesartan_cilexetil,-9.22,-6.79,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)OC(C)OC(=O)OC6CCCCC6
Carbamazepine,-3.52,-3.22,C1=CC=CC3=C1N(C2=C(C=CC=C2)C=C3)C(N)=O
Carbazole,-4.17,-5.19,C1=CC=CC2=C1[NH]C3=CC=CC=C23
Carbendazim,-2.84,-4.56,C1=CC=CC2=C1[NH]C(=N2)NC(OC)=O
Cefmenoxime,-3.56,-3.27,Cn1c(nnn1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N\OC)/c4csc(n4)N)SC2)C(=O)O
Cefprozil,-3.1,-1.68,C/C=C/C1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](c3ccc(cc3)O)N)SC1)C(=O)O
Celecoxib,-5.82,-5.89,C2=C([N](C1=CC=C([S](N)(=O)=O)C=C1)N=C2C(F)(F)F)C3=CC=C(C=C3)C
Cephradine,-2.67,-1.18,[C@H]13N(C(=O)[C@H]1NC([C@@H](C2=CCC=CC2)N)=O)C(=C(C)CS3)C(O)=O
Chlorpropamide,-3.23,-3.17,O=S(=O)(NC(=O)NCCC)c1ccc(Cl)cc1
